id	flag	text	ref
Actors/0x0100000400000767/LongDescription	0	ЧУДОВО ПІДІЙДЕ АНАЛІТИКАМ. ЧИСТИМ РАЦІОНАЛІСТАМ. І, ЗВІСНО, ТИМ, ХТО ДРУЖИТЬ ІЗ ЛОГІКОЮ.{newline}{newline} Керуючись Логікою, ви зможете проаналізувати будь-яку справу так, що від неї мокрого місця не залишиться. Ви зможете вибудовувати ланцюжки доказів і помічати розбіжності в свідченнях. Усі будуть у повному захваті від ваших блискучих умовиводів. Багато детективів заробляють собі на хліб з маслом саме логікою.{newline}{newline} Високий рівень Логіки дасть вам змогу розв'язувати навіть найзаплутаніші головоломки. Сповнившись гордості, ви станете вразливі для лестощів на адресу вашого розуму. Той, хто засліплений власною пишністю, часто упускає важливі деталі. З низьким рівнем Логіки навіть найпростіші загадки здадуться вам нерозв'язними. Навіть якщо ви знайдете ключик, замок відшукати буде ой як нелегко.	ОТЛИЧНО ПОДОЙДЕТ АНАЛИТИКАМ. ЧИСТЫМ РАЦИОНАЛИСТАМ. И, КОНЕЧНО, ТЕМ, КТО ДРУЖИТ С ЛОГИКОЙ.{newline}{newline} Руководствуясь Логикой, вы сможете проанализировать любое дело так, что от него мокрого места не останется. Вы сможете выстраивать цепочки доказательств и замечать расхождения в показаниях. Все будут в полном восторге от ваших блестящих умозаключений. Многие детективы зарабатывают себе на хлеб с маслом именно логикой.{newline}{newline} Высокий уровень Логики позволит вам решать даже самые запутанные головоломки. Преисполнившись гордости, вы станете уязвимы для лести в адрес вашего ума. Тот, кто ослеплен собственным великолепием, часто упускает важные детали. С низким уровнем Логики даже самые простые загадки покажутся вам неразрешимыми. Даже если вы обнаружите ключик, замок отыскать будет ой как нелегко.
Actors/0x0100000400000767/Name	0	Логіка	Логика
Actors/0x0100000400000767/short_description	0	Керуйте інтелектуальною стихією. Розкладіть світ по поличках.	Управляйте интеллектуальной стихией. Разложите мир по полочкам.
Actors/0x010000040000076B/LongDescription	0	ЧУДОВО ПІДІЙДЕ ЛЮБИТЕЛЯМ ПОРОЗКИДАТИ МІЗКАМИ. ІСТОРИКАМ. СХИБЛЕНИМ НА ЦІКАВИХ ФАКТАХ.{newline}{newline} З Енциклопедією ви станете всезнайкою, а ваш мозок - універсальним довідником. Ви зможете черпати з власного розуму різноманітні факти - як ті, що пов'язані з розслідуванням, так і ті, що не мають до нього жодного стосунку. Хто знає, можливо, історія тютюнової промисловості одного разу допоможе вам вирахувати вбивцю, а експертні знання про дореволюційну зброю - врятувати чиєсь життя.{newline} {newline} На високих рівнях прокачування Енциклопедія буквально закидає вас фактами. І хоча завдяки їм можливі найважливіші відкриття, найчастіше ваш розум виявляється похованим під купою непотрібних деталей. Однак з Енциклопедією низького рівня вам доведеться працювати тільки з тими фактами, які ви виявите самі. Впоратися зі справою без додаткової інформації буде важкувато.	ОТЛИЧНО ПОДОЙДЕТ ЛЮБИТЕЛЯМ ПОРАСКИНУТЬ МОЗГАМИ. ИСТОРИКАМ. ПОМЕШАННЫМ НА ИНТЕРЕСНЫХ ФАКТАХ.{newline}{newline} С Энциклопедией вы станете всезнайкой, а ваш мозг — универсальным справочником. Вы сможете черпать из собственного разума разнообразные факты — как связанные с расследованием, так и не имеющие к нему никакого отношения. Кто знает, может быть, история табачной промышленности однажды поможет вам вычислить убийцу, а экспертные знания о дореволюционном оружии — спасти чью-то жизнь.{newline} {newline} На высоких уровнях прокачки Энциклопедия буквально забрасывает вас фактами. И хотя благодаря ним возможны важнейшие открытия, чаще всего ваш разум оказывается погребен под грудой бесполезных деталей. Однако с Энциклопедией низкого уровня вам придется работать только с теми фактами, которые вы обнаружите сами. Справиться с делом без дополнительной информации будет трудновато.
Actors/0x010000040000076B/Name	0	Енциклопедія	Энциклопедия
Actors/0x010000040000076B/short_description	0	Задіюйте всі свої знання. Дивуйте ерудицією.	Задействуйте все свои знания. Удивляйте эрудицией.
Actors/0x010000040000076F/LongDescription	0	ВІДМІННО ПІДІЙДЕ МРІЙНИКАМ. МИСЛИВЦЯМ ЗА ПАРАНАТУРАЛЬНИМИ ЯВИЩАМИ. ВООБРАЖЕНЦЯМ.{newline}{newline} Внутрішня імперія - це фантазія, що б'є ключем, бурхливі емоції та яскраві передчуття. Вони дають вам змогу продиратися крізь невидимі виміри реальності й бачити те, що недоступне простому погляду. Що відбувається насправді? Що ці таємничі головоломки означають у світовому масштабі?{newline}{newline} На високих рівнях Внутрішня імперія одушевляє неживе. Ви зможете розмовляти зі своїм одягом. Ці розмови можуть змінити хід розслідування. Якщо вас не запроторять до психлікарні. З низьким рівнем Внутрішньої імперії ви будете геть позбавлені уяви. І особистісних рис. І як тоді змінювати Всесвіт?	ОТЛИЧНО ПОДОЙДЕТ МЕЧТАТЕЛЯМ. ОХОТНИКАМ ЗА ПАРАНАТУРАЛЬНЫМИ ЯВЛЕНИЯМИ. ВООБРАЖЕНЦАМ.{newline}{newline} Внутренняя империя — это бьющая ключом фантазия, бурные эмоции и яркие предчувствия. Они позволяют вам продираться сквозь невидимые измерения реальности и видеть то, что недоступно простому взгляду. Что происходит на самом деле? Что эти таинственные головоломки значат в мировом масштабе?{newline}{newline} На высоких уровнях Внутренняя империя одушевляет неодушевленное. Вы сможете разговаривать со своей одеждой. Эти разговоры могут изменить ход расследования. Если вас не упекут в психушку. С низким уровнем Внутренней империи вы будете напрочь лишены воображения. И личностных черт. И как тогда менять Вселенную?
Actors/0x010000040000076F/Name	0	Внутрішня імперія	Внутренняя империя
Actors/0x010000040000076F/short_description	0	Інтуїція та чуття. Сни наяву.	Интуиция и чутье. Сны наяву.
Actors/0x0100000400000773/LongDescription	0	ВІДМІННО ПІДІЙДЕ ТОНКИМ ПСИХОЛОГАМ. ІНТЕРВ'ЮЄРАМ. ДОЗНАВАТЕЛЯМ.{newline}{newline} За допомогою Емпатії ви зможете проникати в чужі душі й відчувати їхні почуття. Вона дасть вам змогу вловлювати сигнали, які інші можуть прогавити: прихований смуток, на якому можна зіграти; дивну радість того, хто має почуватися нещасним; або глибоко заховану образу, яка може ще відгукнутися.{newline}{newline} На високих рівнях Емпатії ви зможете по-справжньому опинитися в чиїйсь шкурі. Ви плакатимете над чужим горем, битимете в стіну кулаком, відчувши чийсь гнів, і станете ще більш неврівноваженим. Однак із низькою Емпатією у спілкуванні з людьми ви будете як слон у посудній лавці. Бесіда з вами тільки виведе людину з себе.	ОТЛИЧНО ПОДОЙДЕТ ТОНКИМ ПСИХОЛОГАМ. ИНТЕРВЬЮЕРАМ. ДОЗНАВАТЕЛЯМ.{newline}{newline} С помощью Эмпатии вы сможете проникать в чужие души и испытывать их чувства. Она позволит вам улавливать сигналы, которые остальные могут упустить: скрытую грусть, на которой можно сыграть; странную радость того, кто должен чувствовать себя несчастным; или глубоко запрятанную обиду, которая может еще аукнуться.{newline}{newline} На высоких уровнях Эмпатии вы сможете по-настоящему оказаться в чьей-то шкуре. Вы будете плакать над чужим горем, бить в стену кулаком, ощутив чей-то гнев, и станете еще более неуравновешенным. Однако с низкой Эмпатией в общении с людьми вы будете как слон в посудной лавке. Беседа с вами только выведет человека из себя.
Actors/0x0100000400000773/Name	0	Емпатія	Эмпатия
Actors/0x0100000400000773/short_description	0	Відчувайте інших. Задіюйте дзеркальні нейрони.	Чувствуйте других. Задействуйте зеркальные нейроны.
Actors/0x01000004000008DB/Name	0	Стельовий вентилятор	Потолочный вентилятор
Actors/0x010000040000090A/Name	0	Дзеркало	Зеркало
Actors/0x0100000400000918/LongDescription	0	ВІДМІННО ПІДІЙДЕ ТВОРЧИМ НАТУРАМ. ЛЮБИТЕЛЯМ ПСИХОДЕЛІКИ. КРИТИКАМ.{newline} {newline} У Концептуалізації для вас запланована особлива роль - не просто копа, але представника поліції мистецтва. Вона дасть вам змогу знаходити свіжі асоціації, аналізувати різноманітні концепції: від постмодерністського карперіанства Яна Карпа до претензійного ревашольського архітектурного стилю "дідерідада" та навіть концепцію ХАРДКОРА. І найголовніше - додавати власну інтерпретацію.{newline}{newline} На високих рівнях Концептуалізації ви зможете дозволити собі багато чого. Можливо, навіть занадто багато. Вас переповнюватиме пафос і бажання віщати. Навіщо просто жити, якщо можна кинутися в жерло вулкана, що вивергається? Однак на низькому рівні ви не зможете розгледіти творчий бік життя. Користі на виставці мистецтв від вас не доб'єшся. Лише нікчемні люди запрошуватимуть вас на нудні вечірки.	ОТЛИЧНО ПОДОЙДЕТ ТВОРЧЕСКИМ НАТУРАМ. ЛЮБИТЕЛЯМ ПСИХОДЕЛИКИ. КРИТИКАМ.{newline} {newline} У Концептуализации для вас запланирована особая роль — не просто копа, но представителя полиции искусства. Она позволит вам находить свежие ассоциации, анализировать различные концепции: от постмодернистского карперианства Яна Карпа до претенциозного ревашольского архитектурного стиля «дидеридада» и даже концепцию ХАРДКОРА. И самое главное — добавлять собственную интерпретацию.{newline}{newline} На высоких уровнях Концептуализации вы сможете позволить себе многое. Возможно, даже слишком многое. Вас будет переполнять пафос и желание вещать. Зачем просто жить, если можно ринуться в жерло извергающегося вулкана? Однако на низком уровне вы не сможете разглядеть творческую сторону жизни. Толку на выставке искусств от вас не добьешься. Лишь никчемные люди будут приглашать вас на скучные вечеринки.
Actors/0x0100000400000918/Name	0	Концептуалізація	Концептуализация
Actors/0x0100000400000918/short_description	0	Станьте поціновувачем творчості. Розвійте чуйність до мистецтва.	Станьте ценителем творчества. Развейте чуткость к искусству.
Actors/0x01000004000009A7/LongDescription	0	ВІДМІННО ПІДІЙДЕ ТИМ, ХТО ЗДАТНИЙ ТРИМАТИ УДАР. НЕВСИПУЩИМ СПОСТЕРІГАЧАМ. ВІЧНИМ ДВИГУНАМ.{newline}{newline} Від Стійкості залежить ваш метаболізм і кровообіг. Вона покращує ваше здоров'я - один із двох життєвих показників у грі. Вона допомагає вам робити свою справу і виживати. Навіщо добре стріляти, якщо можна просто перти під кулі? Чи варто боятися підірвати своє здоров'я наркотиками, якщо цього здоров'я - завались?{newline} {newline} На високих рівнях ви легко зможете витримати кілька ударів у голову і кілька серцевих нападів. А ще - перевірити, чи може кількість препаратів перейти в якість. Ви станете брутальним мужиком, який із презирством дивиться на всяких слабаків. А ось копу з низькою Стійкістю доведеться непереливки. На службі вам частенько доведеться піддавати своє кволе тільце випробуванням. Якщо воно не витримає - йому кінець.	ОТЛИЧНО ПОДОЙДЕТ ТЕМ, КТО СПОСОБЕН ДЕРЖАТЬ УДАР. НЕУСЫПНЫМ НАБЛЮДАТЕЛЯМ. ВЕЧНЫМ ДВИГАТЕЛЯМ.{newline}{newline} От Стойкости зависит ваш метаболизм и кровообращение. Она улучшает ваше здоровье — один из двух жизненных показателей в игре. Она помогает вам делать свое дело и выживать. Зачем хорошо стрелять, если можно просто переть под пули? Стоит ли бояться подорвать свое здоровье наркотиками, если этого здоровья — завались?{newline} {newline} На высоких уровнях вы легко сможете выдержать несколько ударов в голову и пару сердечных приступов. А еще — проверить, может ли количество препаратов перейти в качество. Вы станете брутальным мужиком, который с презрением смотрит на всяких слабаков. А вот копу с низкой Стойкостью придется туго. На службе вам частенько придется подвергать свое хилое тельце испытаниям. Если оно не выдержит — ему конец.
Actors/0x01000004000009A7/Name	0	Стійкість	Стойкость
Actors/0x01000004000009A7/short_description	0	Тримайте удар. Не дайте себе прикінчити.	Держите удар. Не дайте себя прикончить.
Actors/0x0100000400000B11/LongDescription	0	ВІДМІННО ПІДІЙДЕ ПОТУЖНИМ МУЖИКАМ. ЛЮБИТЕЛЯМ ПОМАХАТИ КУЛАКАМИ. ІНСТРУКТОРАМ ІЗ ФІЗПІДГОТОВКИ.{newline}{newline} Груба сила - це не просто м'язи та хребет, а й уміння їх використовувати. Ви зможете віджиматися, качати прес, роздавати удари кулаками і ногами з розвороту. Це універсальний засіб виживання і процвітання у фізичному світі.{newline}{newline} На високих рівнях ви зможете ламати двері, ланцюги та кістки. Вам буде смішно від вигляду хлюпиків, які на це нездатні. Ви будете справжнім мужиком, який агітує інших качати залізо, поки вони теж не стануть справжніми мужиками. Однак на низьких рівнях ви зможете заарештовувати тільки інвалідів і мерців. А ось вплутавшись у бійку, цілком зумієте потрапити до їхніх лав.	ОТЛИЧНО ПОДОЙДЕТ МОЩНЫМ МУЖИКАМ. ЛЮБИТЕЛЯМ ПОМАХАТЬ КУЛАКАМИ. ИНСТРУКТОРАМ ПО ФИЗПОДГОТОВКЕ.{newline}{newline} Грубая сила — это не просто мышцы и хребет, но и умение их использовать. Вы сможете отжиматься, качать пресс, раздавать удары кулаками и ногами с разворота. Это универсальное средство выживания и процветания в физическом мире.{newline}{newline} На высоких уровнях вы сможете ломать двери, цепи и кости. Вам будет смешно от вида хлюпиков, которые на это неспособны. Вы будете настоящим мужиком, агитирующим остальных качать железо, пока они тоже не станут настоящими мужиками. Однако на низких уровнях вы сможете арестовывать только инвалидов и мертвецов. А вот ввязавшись в драку, вполне сумеете угодить в их ряды.
Actors/0x0100000400000B11/Name	0	Груба сила	Грубая сила
Actors/0x0100000400000B11/short_description	0	Грайте м'язами. Насолоджуйтеся своїм здоров'ям.	Играйте мышцами. Наслаждайтесь своим здоровьем.
Actors/0x0100000400000BC3/LongDescription	0	ЧУДОВО ПІДІЙДЕ В'ЇДЛИВИМ ДЕТЕКТИВАМ. ЧУТТЄВИМ ОСОБИСТОСТЯМ. ЗБИРАЧАМ МІСЬКОГО МОТЛОХУ.{newline} {newline} Сприйняття змушує вас досліджувати світ - ваші очі, вуха і ніс працюватимуть на повну потужність. Ви бачитимете й відчуватимете те, що для інших залишиться непоміченим: крихітну заначку, заховану в цукорниці; запах лиходія, який зачаївся в підпіллі; нервове ковтання підозрюваного, який присягається, що йому нема чого приховувати.{newline} {newline} На високих рівнях Сприйняття ви відчуватимете найменші деталі фізичного світу - це може звести з розуму, якщо ваш мозок не готовий. Однак із низьким Сприйняттям ви навряд чи зможете помітити хоч щось. Не можна заарештувати те, що ви не бачите, не чуєте і не чуєте.	ОТЛИЧНО ПОДОЙДЕТ ВЪЕДЛИВЫМ ДЕТЕКТИВАМ. ЧУВСТВЕННЫМ ЛИЧНОСТЯМ. СБОРЩИКАМ ГОРОДСКОГО ХЛАМА.{newline} {newline} Восприятие заставляет вас исследовать мир — ваши глаза, уши и нос будут работать на полную мощность. Вы будете видеть и чувствовать то, что для других останется незамеченным: крошечную заначку, спрятанную в сахарнице; запах злодея, притаившегося в подполе; нервное сглатывание подозреваемого, который клянется, что ему нечего скрывать.{newline} {newline} На высоких уровнях Восприятия вы будете ощущать малейшие детали физического мира — это может свести с ума, если ваш мозг не готов. Однако с низким Восприятием вы вряд ли сможете заметить хоть что-то. Нельзя арестовать то, что вы не видите, не слышите и не чуете.
Actors/0x0100000400000BC3/Name	0	Сприйняття	Восприятие
Actors/0x0100000400000BC3/short_description	0	Дивіться, слухайте і нюхайте. Не пропустіть жодної деталі.	Смотрите, слушайте и нюхайте. Не упустите ни единой детали.
Actors/0x0100000400000BC7/LongDescription	0	ВІДМІННО ПІДІЙДЕ ЛЮБИТЕЛЯМ МІСЬКОГО ЖИТТЯ. НАРОДНИМ МУДРЕЦЯМ. ПО-СПРАВЖНЬОМУ НАДПРИРОДНИМ НАТУРАМ.{newline} {newline} Коли температура падає і почуття загострюються, ви відчуваєте Мурашки. Завдяки цьому ви можете чути голос міста, по-справжньому злитися з вулицею. Це надприродна здатність. Перед вами розігруються трагедії минулого; ви бачите те, що відбувається на іншому кінці міста. Але чий голос ви чуєте?{newline} {newline} На високих рівнях Мурашок оточуючим може здатися, що ви не в собі - коли з вами говорить голос міста, ви чуєте тільки його. Вищі особи можуть занепокоїтися. З іншого боку, на низьких рівнях вулиці практично не будуть з вами говорити. А як ви врятуєте місто, яке не чуєте?	ОТЛИЧНО ПОДОЙДЕТ ЛЮБИТЕЛЯМ ГОРОДСКОЙ ЖИЗНИ. НАРОДНЫМ МУДРЕЦАМ. ПО-НАСТОЯЩЕМУ СВЕРХЪЕСТЕСТВЕННЫМ НАТУРАМ.{newline} {newline} Когда температура падает и чувства обостряются, вы ощущаете Трепет. Благодаря этому вы можете слышать голос города, по-настоящему слиться с улицей. Это сверхъестественная способность. Перед вами разыгрываются трагедии прошлого; вы видите то, что происходит на другом конце города. Но чей голос вы слышите? {newline} {newline} На высоких уровнях Трепета окружающим может показаться, что вы не в себе — когда с вами говорит голос города, вы слышите только его. Вышестоящие лица могут забеспокоиться. С другой стороны, на низких уровнях улицы практически не будут с вами говорить. А как вы спасете город, который не слышите?
Actors/0x0100000400000BC7/Name	0	Мурашки	Трепет
Actors/0x0100000400000BC7/short_description	0	Відчуйте тремтіння. Налаштуйтеся на міську хвилю.	Почувствуйте дрожь. Настройтесь на городскую волну.
Actors/0x01000004000012FB/Name	0	Асель	Асель
Actors/0x0100000400002C96/Name	0	Ключ із жовтим брелоком	Ключ с желтым брелком
Actors/0x0100000400006295/Name	0	Гарт, керуючий кафетерієм	Гарт, управляющий кафетерием
Actors/0x0100000400009A01/Name	0	Повішений	Повешенный
Actors/0x0100000400009B34/Name	0	Сміттєвий бак	Мусорный бак
Actors/0x010000040000B299/Name	0	Жан Вікмар	Жан Викмар
Actors/0x010000040000B29D/Name	0	Жюдіт Міно	Жюдит Мино
Actors/0x010000040000B2A1/Name	0	Трент Гейдельстам	Трэнт Хейдельстам
Actors/0x010000040000B2A5/Name	0	Мак Торсон	Мак Торсон
Actors/0x010000040000B2A9/Name	0	Честер Маклейн	Честер Маклейн
Actors/0x010000040000C2CC/Name	0	Двері в номер 3	Дверь в номер 3
Actors/0x010000040000C514/Name	0	Розбите вікно	Разбитое окно
Actors/0x010000040000DDFF/Name	0	Поштова скринька	Почтовый ящик
Actors/0x0100000400010F99/Name	0	Сінді Череп	Синди Череп
Actors/0x01000004000115C2/Name	0	Гра закінчена	Игра окончена
Actors/0x010000060000032D/Name	0	Тьяго	Тьяго
Actors/0x010000060000033A/Name	0	Соона, програмістка	Соона, программистка
Actors/0x010000060000033F/Name	0	Різчиця гральних кісток	Резчица игральных костей
Actors/0x0100000600000487/Name	0	Свічка	Свеча
Actors/0x010000060000048B/Name	0	Ствол (4 патрони)	Ствол (4 патрона)
Actors/0x01000006000009C4/Name	0	гральний кубик з 4 гранями	Игральная кость с 4 гранями
Actors/0x01000006000009C8/Name	0	гральний кубик з 20 гранями	Игральная кость с 20 гранями
Actors/0x01000006000009D0/Name	0	Мутне дзеркало	Мутное зеркало
Actors/0x01000006000083DA/Name	0	Помічник	Помощник
Actors/0x01000006000172E3/Name	0	Туристична карта району Мартінез	Туристическая карта района Мартинез
Actors/0x0100000600018A46/Name	0	Кружка "Жовта людина"	Кружка «Желтый человек»
Actors/0x010000060001C8EB/Name	0	Другий син Лільєнн	Второй сын Лильенн
Actors/0x010000060001D26E/Name	0	Граадський завод магнітів і чудес У49	Граадский завод магнитов и чудес У49
Actors/0x010000060001FED0/Name	0	Силует у темряві	Силуэт во тьме
Actors/0x010000070000138D/Name	0	Білий конверт	Белый конверт
Actors/0x0100000700012073/Name	0	Пісочний замок	Песочный замок
Actors/0x0100000800000BAC/Name	0	Сприйняття (нюх)	Восприятие (обоняние)
Actors/0x0100000800000BB0/Name	0	Сприйняття (слух)	Восприятие (слух)
Actors/0x0100000800000BB8/Name	0	Сприйняття (смак)	Восприятие (вкус)
Actors/0x0100000800000BBC/Name	0	Сприйняття (зір)	Восприятие (зрение)
Actors/0x0100000800001110/Name	0	Мікаель Гейдельстам	Микаэль Хейдельстам
Actors/0x010000080000683E/Name	0	Сліди	Следы
Actors/0x0100000800006842/Name	0	Безладні кульові отвори	Беспорядочные пулевые отверстия
Actors/0x0100000800006846/Name	0	Відбитки підошов у бруді	Отпечатки подошв в грязи
Actors/0x0100000900000002/Name	0	Сплячий портовий робітник	Спящий портовый рабочий
Actors/0x0100000900000265/Name	0	Лільєнн, рибалка	Лильенн, рыбачка
Actors/0x0100000900001971/Name	0	Далекобійник-расист	Дальнобойщик-расист
Actors/0x0100000900001C3A/Name	0	Аннетт	Аннетт
Actors/0x01000009000023B0/Name	0	Плезанція	Плезанция
Actors/0x0100000900002CC3/Name	0	Спортивна лава	Спортивная скамья
Actors/0x0100000A00000016/LongDescription	0	ЧУДОВО ПІДІЙДЕ ІДЕОЛОГАМ. УМІЛИМ СПІВРОЗМОВНИКАМ. ДИВАННИМ ПОЛІТИКАМ.{newline}{newline} Риторика допоможе вам вести будь-які дебати і наукові дискусії, чіплятися до дрібниць - і перемагати. Ви зможете аналізувати чужі доводи і докопуватися до самої суті сказаного. Ви зможете моментально розпізнати будь-яке лукавство. Про що промовчав офіціант, коли давав свідчення? Від чого вас намагалася відволікти танцівниця? Чи був це простий каламбур, чи ви раптово зловили слід?{newline} {newline} На високих рівнях Риторики вас буде неможливо збити з пантелику - ваші переконання стануть непохитними, як скеля. Інакше кажучи, мислення втратить гнучкість. А з низьким рівнем Риторики вам не знайдеться, що пред'явити в суперечці. Викрити когось під час допиту буде практично неможливо.	ОТЛИЧНО ПОДОЙДЕТ ИДЕОЛОГАМ. УМЕЛЫМ СОБЕСЕДНИКАМ. ДИВАННЫМ ПОЛИТИКАМ.{newline}{newline} Риторика поможет вам вести любые дебаты и научные дискуссии, цепляться к мелочам — и побеждать. Вы сможете анализировать чужие доводы и докапываться до самой сути сказанного. Вы сможете моментально распознать любое лукавство. О чем умолчал официант, когда давал показания? От чего вас пыталась отвлечь танцовщица? Был ли это простой каламбур или вы внезапно поймали след? {newline} {newline} На высоких уровнях Риторики вас будет невозможно сбить с толку — ваши убеждения станут непоколебимы, как скала. Иначе говоря, мышление утратит гибкость. А с низким уровнем Риторики вам не найдется, что предъявить в споре. Уличить кого-то во время допроса будет практически невозможно.
Actors/0x0100000A00000016/Name	0	Риторика	Риторика
Actors/0x0100000A00000016/short_description	0	Удосконалюйте мистецтво переконання. Насолоджуйтеся запеклими інтелектуальними баталіями.	Совершенствуйте искусство убеждения. Наслаждайтесь ожесточенными интеллектуальными баталиями.
Actors/0x0100000A0000001A/LongDescription	0	ЧУДОВО ПІДІЙДЕ КОПАМ ПІД ПРИКРИТТЯМ. ТЕАТРАЛЬНИМ АКТОРАМ. ПСИХОПАТАМ.{newline} {newline} Драма змусить вас зрозуміти, що світ - театр. А ви народжені для сцени. Ви зможете віртуозно брехати, вигадувати дивовижні захопливі історії, приміряти на себе оригінальні ролі й закрутитися у вирі лицедійства та шахрайства! А ще ви будете наскрізь бачити жалюгідні кривляння тих, хто вважає себе талановитими акторами. Ви розкусите будь-яку брехню. В одну мить.{newline} {newline} На високих рівнях Драма може перетворити вас на нестерпну діву. Істерики та параноя стануть вашими постійними супутниками. Адже той, хто знає, що світ - театр, розуміє, що правда марна. Однак на низьких рівнях ви не зможете ні брехати, ні розпізнавати брехню. А для копа це означає тільки одне - швидку зустріч із могильними черв'яками.	ОТЛИЧНО ПОДОЙДЕТ КОПАМ ПОД ПРИКРЫТИЕМ. ТЕАТРАЛЬНЫМ АКТЕРАМ. ПСИХОПАТАМ.{newline} {newline} Драма заставит вас понять, что мир — театр. А вы рождены для сцены. Вы сможете виртуозно врать, придумывать удивительные захватывающие истории, примерить на себя оригинальные роли и закрутиться в водовороте лицедейства и плутовства! А еще вы будете насквозь видеть жалкие кривляния тех, кто мнит себя талантливыми актерами. Вы раскусите любую ложь. В мгновение ока.{newline} {newline} На высоких уровнях Драма может превратить вас в несносную диву. Истерики и паранойя станут вашими постоянными спутниками. Ведь тот, кто знает, что мир — театр, понимает, что правда тщетна. Однако на низких уровнях вы не сможете ни лгать, ни распознавать ложь. А для копа это означает только одно — скорую встречу с могильными червями.
Actors/0x0100000A0000001A/Name	0	Драма	Драма
Actors/0x0100000A0000001A/short_description	0	Переграйте всіх. Брешіть, але не дайте обдурити себе.	Переиграйте всех. Врите, но не дайте обмануть себя.
